Year,Round,W_Region,W_Seed,W_Team,W_Score,L_Region,L_Seed,L_Team,L_Score,OT
2003,First Round (Round of 64),1,13,Tulsa,84,1,4,Dayton,71,0
2003,First Round (Round of 64),1,6,Missouri,72,1,11,Southern Illinois,71,0
2003,First Round (Round of 64),1,3,Marquette,72,1,14,Holy Cross,68,0
2003,First Round (Round of 64),1,7,Indiana,67,1,10,Alabama,62,0
2003,First Round (Round of 64),1,2,Pittsburgh,87,1,15,Wagner,61,0
2003,First Round (Round of 64),3,1,Texas,82,3,16,UNC Asheville,61,0
2003,First Round (Round of 64),3,9,Purdue,80,3,8,LSU,56,0
2003,First Round (Round of 64),3,5,UConn,58,3,12,BYU,53,0
2003,First Round (Round of 64),3,4,Stanford,77,3,13,San Diego,69,0
2003,First Round (Round of 64),3,6,Maryland,75,3,11,UNC Wilmington,73,0
2003,First Round (Round of 64),3,3,Xavier,71,3,14,Troy State,59,0
2003,First Round (Round of 64),3,7,Michigan State,79,3,10,Colorado,64,0
2003,First Round (Round of 64),3,2,Florida,85,3,15,Sam Houston State,55,0
2003,First Round (Round of 64),2,1,Arizona,80,2,16,Vermont,51,0
2003,First Round (Round of 64),2,9,Gonzaga,74,2,8,Cincinnati,69,0
2003,First Round (Round of 64),2,5,Notre Dame,70,2,12,Milwaukee,69,0
2003,First Round (Round of 64),2,4,Illinois,65,2,13,Western Kentucky,60,0
2003,First Round (Round of 64),2,11,Central Michigan,79,2,6,Creighton,73,0
2003,First Round (Round of 64),2,3,Duke,67,2,14,Colorado State,57,0
2003,First Round (Round of 64),2,10,Arizona State,84,2,7,Memphis,71,0
2003,First Round (Round of 64),2,2,Kansas,64,2,15,Utah State,61,0
2003,Second Round (Round of 32),4,1,Oklahoma,74,4,8,California,65,0
2003,Second Round (Round of 32),4,12,Butler,79,4,4,Louisville,71,0
2003,Second Round (Round of 32),4,3,Syracuse,68,4,6,Oklahoma State,56,0
2003,Second Round (Round of 32),4,10,Auburn,68,4,2,Wake Forest,62,0
2003,Second Round (Round of 32),1,1,Kentucky,74,1,9,Utah,54,0
2003,Second Round (Round of 32),1,5,Wisconsin,61,1,13,Tulsa,60,0
2003,Second Round (Round of 32),1,3,Marquette,101,1,6,Missouri,92,0
2003,Second Round (Round of 32),1,2,Pittsburgh,74,1,7,Indiana,52,0
2003,Second Round (Round of 32),3,1,Texas,77,3,9,Purdue,67,0
2003,Second Round (Round of 32),3,5,UConn,85,3,4,Stanford,74,0
2003,Second Round (Round of 32),3,6,Maryland,77,3,3,Xavier,64,0
2003,Second Round (Round of 32),3,7,Michigan State,68,3,2,Florida,46,0
2003,Second Round (Round of 32),2,1,Arizona,96,2,9,Gonzaga,95,0
2003,Second Round (Round of 32),2,5,Notre Dame,68,2,4,Illinois,60,0
2003,Second Round (Round of 32),2,3,Duke,86,2,11,Central Michigan,60,0
2003,Second Round (Round of 32),2,2,Kansas,108,2,10,Arizona State,76,0
2003,Sweet 16,4,1,Oklahoma,65,4,12,Butler,54,0
2003,Sweet 16,4,3,Syracuse,79,4,10,Auburn,78,0
2003,Sweet 16,1,1,Kentucky,63,1,5,Wisconsin,57,0
2003,Sweet 16,1,3,Marquette,77,1,2,Pittsburgh,74,0
2003,Sweet 16,3,1,Texas,82,3,5,UConn,78,0
2003,Sweet 16,3,7,Michigan State,60,3,6,Maryland,58,0
2003,Sweet 16,2,1,Arizona,88,2,5,Notre Dame,71,0
2003,Sweet 16,2,2,Kansas,69,2,3,Duke,65,0
2003,Elite Eight,4,3,Syracuse,63,4,1,Oklahoma,47,0
2003,Elite Eight,1,3,Marquette,83,1,1,Kentucky,69,0
2003,Elite Eight,3,1,Texas,85,3,7,Michigan State,76,0
2003,Elite Eight,2,2,Kansas,78,2,1,Arizona,75,0
2003,Final Four,4,3,Syracuse,95,3,1,Texas,84,0
2003,Final Four,2,2,Kansas,94,1,3,Marquette,61,0
2003,National Championship,4,3,Syracuse,81,2,2,Kansas,78,0
2004,Opening Round,1,16,Florida A&M,72,1,16,Lehigh,57,0
2004,First Round (Round of 64),2,1,Saint Joseph's,82,2,16,Liberty,63,0
2004,First Round (Round of 64),2,8,Texas Tech,76,2,9,Charlotte,73,0
2004,First Round (Round of 64),2,12,Manhattan,75,2,5,Florida,60,0
2004,First Round (Round of 64),2,4,Wake Forest,79,2,13,VCU,78,0
2004,First Round (Round of 64),2,6,Wisconsin,76,2,11,Richmond,64,0
2004,First Round (Round of 64),2,3,Pittsburgh,53,2,14,UCF,44,0
2004,First Round (Round of 64),2,7,Memphis,59,2,10,South Carolina,43,0
2004,First Round (Round of 64),2,2,Oklahoma State,75,2,15,Eastern Washington,56,0
2004,First Round (Round of 64),1,1,Kentucky,96,1,16,Florida A&M,76,0
2004,First Round (Round of 64),1,9,UAB,102,1,8,Washington,100,0
2004,First Round (Round of 64),1,12,Pacific,66,1,5,Providence,58,0
2004,First Round (Round of 64),1,4,Kansas,78,1,13,Illinois-Chicago,53,0
2004,First Round (Round of 64),1,6,Boston College,58,1,11,Utah,51,0
2004,First Round (Round of 64),1,3,Georgia Tech,65,1,14,Northern Iowa,60,0
2004,First Round (Round of 64),1,10,Nevada,72,1,7,Michigan State,66,0
2004,First Round (Round of 64),1,2,Gonzaga,76,1,15,Valparaiso,49,0
2004,First Round (Round of 64),3,1,Duke,96,3,16,Alabama State,61,0
2004,First Round (Round of 64),3,8,Seton Hall,80,3,9,Arizona,76,0
2004,First Round (Round of 64),3,5,Illinois,72,3,12,Murray State,53,0
2004,First Round (Round of 64),3,4,Cincinnati,80,3,13,East Tennessee State,77,0
2004,First Round (Round of 64),3,6,North Carolina,63,3,11,Air Force,52,0
2004,First Round (Round of 64),3,3,Texas,66,3,14,Princeton,49,0
2004,First Round (Round of 64),3,7,Xavier,80,3,10,Louisville,70,0
2004,First Round (Round of 64),3,2,Mississippi State,85,3,15,Monmouth,52,0
2004,First Round (Round of 64),4,1,Stanford,71,4,16,UTSA,45,0
2004,First Round (Round of 64),4,8,Alabama,65,4,9,Southern Illinois,64,0
2004,First Round (Round of 64),4,5,Syracuse,80,4,12,BYU,75,0
2004,First Round (Round of 64),4,4,Maryland,86,4,13,UTEP,83,0
2004,First Round (Round of 64),4,6,Vanderbilt,71,4,11,Western Michigan,58,0
2004,First Round (Round of 64),4,3,NC State,61,4,14,Louisiana-Lafayette,52,0
2004,First Round (Round of 64),4,7,DePaul,76,4,10,Dayton,69,1
2004,First Round (Round of 64),4,2,UConn,70,4,15,Vermont,53,0
2004,Second Round (Round of 32),2,1,Saint Joseph's,70,2,8,Texas Tech,65,0
2004,Second Round (Round of 32),2,4,Wake Forest,84,2,12,Manhattan,80,0
2004,Second Round (Round of 32),2,3,Pittsburgh,59,2,6,Wisconsin,55,0
2004,Second Round (Round of 32),2,2,Oklahoma State,70,2,7,Memphis,53,0
2004,Second Round (Round of 32),1,9,UAB,76,1,1,Kentucky,75,0
2004,Second Round (Round of 32),1,4,Kansas,78,1,12,Pacific,63,0
2004,Second Round (Round of 32),1,3,Georgia Tech,57,1,6,Boston College,54,0
2004,Second Round (Round of 32),1,10,Nevada,91,1,2,Gonzaga,72,0
2004,Second Round (Round of 32),3,1,Duke,90,3,8,Seton Hall,62,0
2004,Second Round (Round of 32),3,5,Illinois,92,3,4,Cincinnati,68,0
2004,Second Round (Round of 32),3,3,Texas,78,3,6,North Carolina,75,0
2004,Second Round (Round of 32),3,7,Xavier,89,3,2,Mississippi State,74,0
2004,Second Round (Round of 32),4,8,Alabama,70,4,1,Stanford,67,0
2004,Second Round (Round of 32),4,5,Syracuse,72,4,4,Maryland,70,0
2004,Second Round (Round of 32),4,6,Vanderbilt,75,4,3,NC State,73,0
2004,Second Round (Round of 32),4,2,UConn,72,4,7,DePaul,55,0
2004,Sweet 16,2,1,Saint Joseph's,84,2,4,Wake Forest,80,0
2004,Sweet 16,2,2,Oklahoma State,63,2,3,Pittsburgh,51,0
2004,Sweet 16,1,4,Kansas,100,1,9,UAB,74,0
2004,Sweet 16,1,3,Georgia Tech,72,1,10,Nevada,67,0
2004,Sweet 16,3,1,Duke,72,3,5,Illinois,62,0
2004,Sweet 16,3,7,Xavier,79,3,3,Texas,71,0
2004,Sweet 16,4,8,Alabama,80,4,5,Syracuse,71,0
2004,Sweet 16,4,2,UConn,73,4,6,Vanderbilt,53,0
2004,Elite Eight,2,2,Oklahoma State,64,2,1,Saint Joseph's,62,0
2004,Elite Eight,1,3,Georgia Tech,79,1,4,Kansas,71,1
2004,Elite Eight,3,1,Duke,66,3,7,Xavier,63,0
2004,Elite Eight,4,2,UConn,87,4,8,Alabama,71,0
2004,Final Four,1,3,Georgia Tech,67,2,2,Oklahoma State,65,0
2004,Final Four,4,2,UConn,79,3,1,Duke,78,0
2004,National Championship,4,2,UConn,82,1,3,Georgia Tech,73,0
2005,Opening Round,3,16,Oakland,79,3,16,Alabama A&M,69,0
2005,First Round (Round of 64),3,1,North Carolina,96,3,16,Oakland,68,0
2005,First Round (Round of 64),3,9,Iowa State,64,3,8,Minnesota,53,0
2005,First Round (Round of 64),3,5,Villanova,55,3,12,New Mexico,47,0
2005,First Round (Round of 64),3,4,Florida,67,3,13,Ohio,62,0
2005,First Round (Round of 64),3,6,Wisconsin,57,3,11,Northern Iowa,52,0
2005,First Round (Round of 64),3,14,Bucknell,64,3,3,Kansas,63,0
2005,First Round (Round of 64),3,10,NC State,75,3,7,UNC Charlotte,63,0
2005,First Round (Round of 64),3,2,UConn,77,3,15,UCF,71,0
2005,First Round (Round of 64),1,1,Illinois,67,1,16,Fairleigh Dickinson,55,0
2005,First Round (Round of 64),1,9,Nevada,61,1,8,Texas,57,0
2005,First Round (Round of 64),1,12,Wisconsin-Milwaukee,83,1,5,Alabama,73,0
2005,First Round (Round of 64),1,4,Boston College,85,1,13,Penn,65,0
2005,First Round (Round of 64),1,11,UAB,82,1,6,LSU,68,0
2005,First Round (Round of 64),1,3,Arizona,66,1,14,Utah State,53,0
2005,First Round (Round of 64),1,7,Southern Illinois,65,1,10,St. Mary's,56,0
2005,First Round (Round of 64),1,2,Oklahoma State,63,1,15,Southeastern Louisiana,50,0
2005,First Round (Round of 64),4,1,Duke,57,4,16,Delaware State,46,0
2005,First Round (Round of 64),4,9,Mississippi State,93,4,8,Stanford,70,0
2005,First Round (Round of 64),4,5,Michigan State,89,4,12,Old Dominion,81,0
2005,First Round (Round of 64),4,13,Vermont,60,4,4,Syracuse,57,1
2005,First Round (Round of 64),4,6,Utah,60,4,11,UTEP,54,0
2005,First Round (Round of 64),4,3,Oklahoma,84,4,14,Niagara,67,0
2005,First Round (Round of 64),4,7,Cincinnati,76,4,10,Iowa,64,0
2005,First Round (Round of 64),4,2,Kentucky,72,4,15,Eastern Kentucky,64,0
2005,First Round (Round of 64),2,1,Washington,88,2,16,Montana,77,0
2005,First Round (Round of 64),2,8,Pacific,79,2,9,Pittsburgh,71,0
2005,First Round (Round of 64),2,5,Georgia Tech,80,2,12,George Washington,68,0
2005,First Round (Round of 64),2,4,Louisville,68,2,13,Louisiana-Lafayette,62,0
2005,First Round (Round of 64),2,6,Texas Tech,78,2,11,UCLA,66,0
2005,First Round (Round of 64),2,3,Gonzaga,74,2,14,Winthrop,64,0
2005,First Round (Round of 64),2,7,West Virginia,63,2,10,Creighton,61,0
2005,First Round (Round of 64),2,2,Wake Forest,70,2,15,UT-Chattanooga,54,0
2005,Second Round (Round of 32),3,1,North Carolina,92,3,9,Iowa State,65,0
2005,Second Round (Round of 32),3,5,Villanova,76,3,4,Florida,65,0
2005,Second Round (Round of 32),3,6,Wisconsin,71,3,14,Bucknell,62,0
2005,Second Round (Round of 32),3,10,NC State,65,3,2,UConn,62,0
2005,Second Round (Round of 32),1,1,Illinois,71,1,9,Nevada,59,0
2005,Second Round (Round of 32),1,12,Wisconsin-Milwaukee,83,1,4,Boston College,75,0
2005,Second Round (Round of 32),1,3,Arizona,85,1,11,UAB,63,0
2005,Second Round (Round of 32),1,2,Oklahoma State,85,1,7,Southern Illinois,77,0
2005,Second Round (Round of 32),4,1,Duke,63,4,9,Mississippi State,55,0
2005,Second Round (Round of 32),4,5,Michigan State,72,4,13,Vermont,61,0
2005,Second Round (Round of 32),4,6,Utah,67,4,3,Oklahoma,58,0
2005,Second Round (Round of 32),4,2,Kentucky,69,4,7,Cincinnati,60,0
2005,Second Round (Round of 32),2,1,Washington,97,2,8,Pacific,79,0
2005,Second Round (Round of 32),2,4,Louisville,76,2,5,Georgia Tech,54,0
